# chi2_tot  chi2_prior  chi2_data
   791.902     7.62287    784.279
   797.871     9.03563    788.835
   770.749     6.12729    764.622
   751.516     6.32703    745.189
   827.874     8.21902    819.655
   782.953     5.84137    777.111
   796.945      6.7852    790.159
   821.914     4.88699    817.027
   820.136     8.95683    811.179
   793.783     8.28768    785.496
   758.563     7.05147    751.512
   807.517     9.66373    797.853
    824.73      7.1126    817.618
   820.784     7.64022    813.144
   727.327     6.43976    720.887
   751.978     6.07567    745.902
   805.141     6.54386    798.598
   747.524     8.66146    738.863
    769.47     7.02165    762.449
   804.332     6.92552    797.407
   775.669     6.45997    769.209
   780.665     7.58704    773.078
   789.713     7.25434    782.458
    849.23     6.28399    842.946
   799.946     5.76713    794.179
   727.938     7.11807     720.82
    755.59     7.32187    748.268
   762.371     9.23117    753.139
   760.078     6.14476    753.933
     788.9     8.06443    780.836
    802.34     7.13585    795.204
    843.21     6.79321    836.417
   834.597     8.79093    825.806
   783.478     5.04072    778.437
   813.032     7.33681    805.696
    811.02     6.87623    804.144
       838     6.89542    831.105
   750.616      8.0708    742.545
   837.272     7.07158      830.2
   827.742     7.42881    820.313
   829.889     8.64123    821.248
   811.435     7.78151    803.653
   788.738     7.18358    781.555
   780.192     7.71331    772.478
    803.56     7.61051    795.949
   802.829     4.32996    798.499
   796.006     9.45844    786.547
   790.472     6.81414    783.658
    848.34     5.78507    842.555
   819.559     5.90061    813.658
   794.202     7.23952    786.962
   837.633     7.19292     830.44
    796.57     7.17697    789.393
   800.286     7.76263    792.523
   842.923     7.44376     835.48
   805.765     7.33449     798.43
   834.624     5.45195    829.172
   762.656     6.27345    756.382
   736.402     4.70302    731.699
   805.687     7.88583    797.801
   892.683     6.66829    886.014
   787.756      4.6989    783.057
   757.779     9.09612    748.683
   810.045     8.88163    801.163
   872.899     6.37881     866.52
   839.231     7.58665    831.645
   731.514     6.71221    724.802
   826.747     7.74782    818.999
   763.265     6.37225    756.892
   847.144     7.10719    840.036
   754.791     7.52309    747.267
   756.752      8.9472    747.805
   784.461     7.02417    777.437
    765.23     6.99983     758.23
   817.632     6.63105    811.001
   748.398     7.22781     741.17
   761.496     11.4206    750.075
   795.742     5.93791    789.804
   849.376     6.42064    842.955
   841.786     6.98254    834.803
   910.701     7.63521    903.066
   764.998      7.6902    757.308
   714.294      6.2889    708.005
    803.49     5.01992     798.47
   741.312      7.8281    733.484
    803.77     5.57036      798.2
   784.636     7.08398    777.552
   753.235     5.99739    747.238
   766.425     7.47719    758.947
   758.835     8.96201    749.873
   769.008     5.23467    763.773
    818.05      6.8294     811.22
   784.675     8.45229    776.223
   782.392     7.04337    775.349
   792.256     9.65171    782.604
   774.868     4.92658    769.941
    705.15     8.14899    697.001
   835.498     8.12016    827.378
   809.103     6.32161    802.782
   726.141     6.24422    719.897
   829.129     5.67042    823.459
    785.91     7.53102    778.379
   743.368     9.18543    734.183
   876.182     7.09119    869.091
   821.922     8.62368    813.298
   811.831     10.0641    801.767
   830.727      6.9267      823.8
    783.47     7.70005     775.77
   775.733     7.92165    767.811
   809.165     7.27212    801.893
   781.446     7.19428    774.252
   769.352     6.88992    762.462
   789.237     5.56671    783.671
   758.069     8.05535    750.014
   813.325     7.20032    806.125
   747.435     6.59716    740.838
   784.003     8.17502    775.828
   801.452     6.86227     794.59
   797.985     8.78682    789.198
   774.297     6.14304    768.154
   821.561     9.23174    812.329
   728.828     7.51725    721.311
    833.65     7.60943     826.04
   794.428     6.54395    787.884
   769.041     5.37012    763.671
   814.785      6.4073    808.378
   815.048      7.6004    807.447
   780.369     5.67496    774.694
   811.644     8.77694    802.867
   828.132     5.56416    822.568
   785.512     6.74254    778.769
   824.717     7.19372    817.524
   874.563     6.80805    867.755
   722.213     8.18581    714.027
   781.883     7.81916    774.064
   733.628     6.08813     727.54
   812.692     8.31259     804.38
   747.425     7.92248    739.502
   778.745     6.76723    771.978
   809.257     6.12831    803.128
   809.986     7.43146    802.554
    784.55     5.60071    778.949
   900.622     7.20703    893.415
   791.557     6.50197    785.055
    727.89     5.73963     722.15
   751.587     7.62797    743.959
   748.281     8.35399    739.927
   739.911     7.37774    732.533
   801.509     8.03333    793.476
   837.415     5.61199    831.803
   808.321     5.74108     802.58
   927.376     7.33788    920.038
     749.4     3.96887    745.431
   797.273     8.21815    789.055
   794.807     8.49402    786.313
   819.937      6.7984    813.138
   739.189     5.57436    733.614
    755.92     6.13573    749.784
   754.592     9.92755    744.664
   779.195     6.79848    772.396
   780.579     5.10619    775.473
    825.63     7.62159    818.008
   804.412     8.13386    796.278
   780.329     5.44387    774.885
    780.39     6.68969      773.7
   781.837     6.56618    775.271
   860.531     8.54715    851.983
   828.134     7.84948    820.285
    813.46     4.95206    808.508
   789.442     8.62396    780.818
   837.209     8.51972    828.689
   842.018     7.86665    834.152
   773.836     6.12518    767.711
   796.182     4.47286    791.709
   816.232     6.75593    809.476
   797.476     10.1296    787.347
   819.471     8.08279    811.388
   842.056     6.71649    835.339
   788.756     9.01142    779.745
   792.207     4.45814    787.749
   854.713     8.81282      845.9
   773.916      7.2118    766.704
   802.057     8.08777    793.969
   800.343     6.49574    793.848
   819.631     7.69525    811.936
   803.373     6.16933    797.203
   857.171     8.91437    848.257
   839.778     6.13716    833.641
   796.084      7.7623    788.321
   872.404     7.38037    865.024
   853.765     7.19527     846.57
    691.85     5.22693    686.623
   813.662     8.00555    805.657
   812.549     6.47625    806.073
   754.657     5.79004    748.867
   706.918     6.87914    700.038
   758.308     9.41407    748.894
     825.6     7.51085    818.089
   735.347     7.07339    728.273
   815.391     6.77248    808.619
    787.34     6.86019     780.48
   792.111     7.06361    785.047
   872.299       3.979     868.32
   848.865     6.09892    842.766
   753.125     4.84654    748.279
    819.29     6.67717    812.613
   821.726     7.84203    813.884
    824.23     7.97191    816.258
   734.753     4.95817    729.794
   793.937     5.54292    788.394
   766.854     6.78366     760.07
   771.784     8.27484    763.509
   783.326      6.1003    777.226
   759.314     6.93278    752.382
   723.399     6.93401    716.465
   841.641     6.79975    834.841
   810.142     8.82012    801.322
   805.106     7.84686     797.26
   782.562     8.87302    773.689
   824.288     5.10836     819.18
   777.472      5.8907    771.582
    803.34      5.0001     798.34
   842.723     7.32758    835.396
   817.309     6.52123    810.787
   786.476     9.09857    777.377
   732.974     7.30027    725.674
   859.627     7.62951    851.998
   750.509     7.99216    742.517
   823.429     5.72694    817.702
   754.984     7.94337     747.04
   778.894     6.97477    771.919
   855.227     8.08362    847.143
   741.929     4.98889     736.94
   765.905     6.94003    758.965
   801.612     6.85134    794.761
   784.263     6.97926    777.283
    846.94     7.34438    839.596
   773.501     6.24852    767.252
   870.453      7.1718    863.281
   805.332      7.7783    797.554
   806.956     7.42811    799.528
   745.741     9.04647    736.694
   747.125      7.7354     739.39
   820.378     7.39767     812.98
   800.985     5.55154    795.433
   777.229     8.80654    768.422
   772.334     6.59364     765.74
   782.366     8.67171    773.694
   860.525     7.80629    852.718
   772.333     6.22461    766.108
   796.021     6.06364    789.958
   760.972     6.17132    754.801
   788.138     9.01473    779.123
   807.533     6.77983    800.753
   854.318      7.1602    847.158
   722.766     6.03621     716.73
   791.032     7.91305    783.118
   809.183     6.87609    802.307
   795.471     7.71751    787.754
   812.951     7.85163    805.099
   740.663     5.30565    735.357
   823.249     8.30295    814.946
   771.951     6.19554    765.755
   735.457     6.07275    729.385
   859.526     6.46013    853.065
   765.504      9.6535    755.851
   882.151     8.83397    873.317
    781.41     7.80646    773.604
   794.625      7.3564    787.268
   783.332     7.18874    776.143
   808.228     4.33566    803.892
   747.149     6.42013    740.729
   862.586     7.49587     855.09
   751.382     9.23643    742.145
   788.029     7.23423    780.795
    737.29     8.92649    728.363
   771.651     6.09318    765.558
   752.687     5.52039    747.167
   734.363     10.0158    724.347
   825.458     8.92033    816.538
   804.479     6.36876    798.111
   822.222     7.46837    814.754
     789.8     7.03682    782.763
   767.888     6.65902    761.229
   766.787     5.84691     760.94
   811.669     7.48563    804.183
   754.023     6.57399    747.449
   802.131     8.44865    793.682
   790.499     6.70091    783.798
   771.667     5.04585    766.622
   789.415     7.00786    782.407
   777.504      7.7719    769.732
    813.42     7.44595    805.974
   791.872      9.0545    782.817
   798.026     6.49939    791.527
   755.525      7.7523    747.773
   850.415     6.87855    843.536
   856.557     7.82655    848.731
     796.1     4.74967     791.35
   823.273     5.85143    817.422
   785.096     6.35051    778.746
   756.462     7.27322    749.189
   836.786     5.43385    831.352
   794.018      6.9662    787.051
   842.574     4.70559    837.868
   825.348     8.35575    816.992
   835.891     7.20702    828.684
   869.886      7.0136    862.873
   782.033     6.23886    775.794
   831.643     9.01517    822.627
   808.548      8.4398    800.109
   811.672     5.67581    805.996
   819.113     7.22263    811.891
    804.76     6.80982    797.951
   849.154     8.36411     840.79
    749.92     5.56921    744.351
   786.022     6.58968    779.432
   775.423     5.84571    769.577
   781.102     6.70765    774.395
   810.269     7.90442    802.364
   841.077     4.78897    836.288
   785.481      9.4818    775.999
   814.194     7.22247    806.972
    761.94     9.41195    752.528
   750.246     8.30554     741.94
   758.998     8.13384    750.864
   857.247     6.61014    850.637
   769.763     7.38678    762.377
   803.624     6.94157    796.682
   774.855     4.99123    769.863
   835.718     6.49344    829.225
   782.803     4.71717    778.086
   812.275     9.08115    803.193
   841.097     5.63711     835.46
   775.705     8.35812    767.346
   758.648     9.16523    749.482
   828.536     5.97403    822.562
   760.703     7.93189    752.771
   813.836     6.94983    806.886
   782.986     7.83418    775.152
   783.933     11.5444    772.388
   780.944      4.7649    776.179
   839.789     8.21377    831.575
    796.59     10.8955    785.694
   785.621     7.07674    778.544
   811.768     6.95427    804.814
   808.591     7.28763    801.304
   754.809     6.87296    747.936
   831.678     5.00317    826.675
   778.215     7.18378    771.031
     771.2     7.68152    763.518
   730.655     9.11612    721.539
    726.39       7.767    718.623
   752.232     7.07352    745.158
   715.602     8.09232     707.51
    833.14     5.69955     827.44
   743.567     5.82635    737.741
   792.897     8.14856    784.748
   800.339     5.19631    795.143
   810.826     6.84959    803.976
   832.348      5.4787     826.87
   813.451     7.47693    805.974
   789.541     5.64277    783.898
   702.919     8.01166    694.907
   827.018     7.12669    819.892
   839.284     7.75818    831.526
   809.076     5.54953    803.526
   735.338     6.86825    728.469
    763.87     6.99967     756.87
   760.374     8.67103    751.703
   835.536     4.67474    830.861
   821.132     5.23152    815.901
   783.557     7.08634     776.47
   854.205     8.19404    846.011
    813.28     7.37271    805.907
   789.753     6.09045    783.663
   765.612     7.12023    758.492
   774.942     7.28646    767.656
   846.926     7.11999    839.806
   777.433     6.57083    770.862
   786.587     9.00649     777.58
   768.571     7.74688    760.824
   782.872     8.11398    774.758
   830.255     6.97634    823.279
   823.463     7.78526    815.678
     802.2     9.15663    793.044
   841.202      6.2704    834.931
   826.002     10.6032    815.399
   760.646     7.13265    753.513
   795.744     4.57561    791.168
   839.378     7.23633    832.142
   768.951      7.1501    761.801
   717.721     5.92091      711.8
   736.017     7.44453    728.572
   693.486      9.0938    684.392
    822.19     8.25606    813.934
   747.759     7.35877    740.401
   741.995     6.32377    735.672
   788.592     8.59141    780.001
   727.274     7.51014    719.764
   773.553     7.76668    765.786
   806.164     9.12764    797.036
   730.176     10.2511    719.925
   849.478     5.75134    843.726
   801.113     9.14326     791.97
   822.697     5.47003    817.227
   799.496     9.97362    789.523
   796.231     4.89529    791.336
   891.783     8.70109    883.082
   824.851     6.85859    817.993
   835.173     8.12511    827.048
   810.173     6.91202    803.261
   726.794     6.33213    720.462
   786.731     7.55554    779.176
   724.852     7.16172     717.69
   862.215      6.0026    856.213
   800.544     7.25737    793.287
   813.581      5.8941    807.687
   802.188     7.53115    794.657
   813.928     6.68535    807.242
    783.56     8.07001     775.49
   774.191     3.61782    770.574
   725.924     6.66349    719.261
    775.17     6.69121    768.479
   784.679     7.88984    776.789
   755.543     6.03483    749.508
   753.095     5.13703    747.958
   796.329      6.4628    789.866
   821.605     8.25543    813.349
   840.391      7.5802     832.81
   811.049     7.34242    803.706
   758.103     8.81582    749.287
   778.723     7.81518    770.908
   846.612     5.99931    840.613
   872.209     7.83789    864.371
   810.632     7.00221     803.63
   820.891      9.0952    811.796
   883.279     6.08687    877.192
   774.929      9.1543    765.774
   783.184     7.41451    775.769
   790.667     6.99586    783.671
   771.524     6.21255    765.311
   845.612     6.87094    838.741
   751.842     6.49468    745.347
   752.165     6.70324    745.462
   781.688     6.97208    774.716
    811.27     5.84105    805.429
   709.869     5.42777    704.441
   834.765     7.00796    827.757
   810.397     9.02809    801.369
   836.588     8.21316    828.375
   708.385     9.43766    698.947
   781.876      8.1058     773.77
   825.461     5.65374    819.808
   771.702     7.51094    764.191
   752.155     8.18341    743.972
   794.024     6.27146    787.752
   801.083     6.82316    794.259
   786.961     7.22677    779.734
   859.456     7.30104    852.155
   773.093     7.51153    765.582
   765.251     5.20993    760.041
   759.492     9.69467    749.797
   801.732     7.12557    794.607
   796.435     10.2752     786.16
     816.1     9.52573    806.574
    706.14     6.96905    699.171
   831.713     4.34215     827.37
   782.149     6.91368    775.236
   808.751     7.48747    801.264
   785.327     5.53276    779.794
   766.849     7.00762    759.841
   750.825     8.00629    742.819
   748.475     6.60856    741.866
   862.975     6.51319    856.462
   738.903     5.95994    732.943
   776.353     5.95368    770.399
   917.142     7.67785    909.464
   820.223     6.40396    813.819
   803.505     6.64753    796.857
   785.502     7.70085    777.801
   752.493     8.98964    743.503
   754.142     6.70516    747.437
   857.124     6.93992    850.184
   789.595     8.24407    781.351
   801.591     9.27536    792.316
   816.196     5.85969    810.337
   746.733     8.20701    738.526
   789.915     7.72991    782.185
   817.775     8.20922    809.566
   806.063     7.15058    798.912
   851.824     6.91355     844.91
   834.623     7.87877    826.744
   795.397      8.1491    787.248
    848.24     8.52588    839.714
   735.889     7.59822    728.291
   782.628     8.87752    773.751
   822.693     8.10886    814.584
   789.273     7.62692    781.646
   756.302     7.51324    748.788
